time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,entry_age,characteristic_group,characteristic,tariff_group,entry_rate
201415,Academic year,Local authority,E92000001,England,E12000007,London,303,E09000004,Bexley,By Age 25,Free School Meals,All Other Pupils,Total,57.9
201415,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,815,E10000023,North Yorkshire,By Age 25,Free School Meals,All Other Pupils,Total,55.3
201415,Academic year,Local authority,E92000001,England,E12000007,London,207,E09000020,Kensington and Chelsea,By Age 25,Free School Meals,All Other Pupils,Total,73.1
201415,Academic year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,By Age 25,Free School Meals,All Other Pupils,Total,51.2
201415,Academic year,Local authority,E92000001,England,E12000009,South West,801,E06000023,Bristol,By Age 25,Free School Meals,All Other Pupils,Total,50.3
201415,Academic year,Local authority,E92000001,England,E12000008,South East,871,E06000039,Slough,By Age 25,Free School Meals,All Other Pupils,Total,70.9
201415,Academic year,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,By Age 25,Free School Meals,All Other Pupils,Total,45.3
201415,Academic year,Local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,By Age 25,Free School Meals,All Other Pupils,Total,57.7
201415,Academic year,Local authority,E92000001,England,E12000007,London,314,E09000021,Kingston upon Thames,By Age 25,Free School Meals,All Other Pupils,Total,69.8
201415,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,E06000010,Kingston Upon Hull,By Age 25,Free School Meals,All Other Pupils,Total,44.7
201415,Academic year,Local authority,E92000001,England,E12000008,South East,826,E06000042,Milton Keynes,By Age 25,Free School Meals,All Other Pupils,Total,54.1
201415,Academic year,Local authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,By Age 25,Free School Meals,All Other Pupils,Total,48.5
201415,Academic year,Local authority,E92000001,England,E12000004,East Midlands,831,E06000015,Derby,By Age 25,Free School Meals,All Other Pupils,Total,49.7
201415,Academic year,Local authority,E92000001,England,E12000007,London,313,E09000018,Hounslow,By Age 25,Free School Meals,All Other Pupils,Total,67.1
201415,Academic year,Local authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,By Age 25,Free School Meals,All Other Pupils,Total,55.4
201415,Academic year,Local authority,E92000001,England,E12000007,London,205,E09000013,Hammersmith and Fulham,By Age 25,Free School Meals,All Other Pupils,Total,72.8
201415,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,381,E08000033,Calderdale,By Age 25,Free School Meals,All Other Pupils,Total,58.0
201415,Academic year,Local authority,E92000001,England,E12000007,London,209,E09000023,Lewisham,By Age 25,Free School Meals,All Other Pupils,Total,64.0
201415,Academic year,Local authority,E92000001,England,E12000007,London,210,E09000028,Southwark,By Age 25,Free School Meals,All Other Pupils,Total,68.5
201415,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,373,E08000019,Sheffield,By Age 25,Free School Meals,All Other Pupils,Total,52.8
201415,Academic year,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,By Age 25,Free School Meals,All Other Pupils,Total,51.8
201415,Academic year,Local authority,E92000001,England,E12000004,East Midlands,928,E10000021,Northamptonshire,By Age 25,Free School Meals,All Other Pupils,Total,48.0
201415,Academic year,Local authority,E92000001,England,E12000006,East of England,822,E06000055,Bedford,By Age 25,Free School Meals,All Other Pupils,Total,52.1
201415,Academic year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,By Age 25,Free School Meals,All Other Pupils,Total,53.4
201415,Academic year,Local authority,E92000001,England,E12000007,London,305,E09000006,Bromley,By Age 25,Free School Meals,All Other Pupils,Total,57.2
201415,Academic year,Local authority,E92000001,England,E12000007,London,208,E09000022,Lambeth,By Age 25,Free School Meals,All Other Pupils,Total,67.0
201415,Academic year,Local authority,E92000001,England,E12000009,South West,908,E06000052,Cornwall,By Age 25,Free School Meals,All Other Pupils,Total,48.0
